期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,4/93,4/93,2515-2459,2515-2467,PSYCHOLOGY,4829.0,14.6,Q1,5.12,100.0,SCIE
Biomarker Research,BIOMARK RES,15/187,7/191,,2050-7771,"MEDICINE, RESEARCH & EXPERIMENTAL",7601.0,14.6,Q1,1.8,100.0,SCIE
Genes & Diseases,GENES DIS,41/319,15/328,2352-4820,2352-3042,BIOCHEMISTRY & MOLECULAR BIOLOGY,9105.0,14.6,Q1,1.69,98.09,SCIE
Interdisciplinary Medicine,INTERD MED,24/187,8/191,2832-6237,2832-6245,"MEDICINE, RESEARCH & EXPERIMENTAL",1426.0,14.5,Q1,1.9,100.0,ESCI
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,34/203,20/207,1021-7770,1423-0127,CELL BIOLOGY,12330.0,14.5,Q1,1.67,100.0,SCIE
TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,11/319,16/328,0968-0004,1362-4326,BIOCHEMISTRY & MOLECULAR BIOLOGY,20954.0,14.4,Q1,1.18,32.23,SCIE
JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,6/187,10/191,0021-9738,1558-8238,"MEDICINE, RESEARCH & EXPERIMENTAL",120571.0,14.3,Q1,2.93,99.14,SCIE
MedComm,MEDCOMM,20/187,11/191,,2688-2663,"MEDICINE, RESEARCH & EXPERIMENTAL",10178.0,14.1,Q1,1.64,100.0,ESCI
BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,10/175,6/180,0734-9750,1873-1899,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,29250.0,14.1,Q1,1.38,24.36,SCIE
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,11/202,12/210,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",32042.0,14.0,Q1,2.67,33.76,SCIE
Cell Reports Medicine,CELL REP MED,23/203,21/207,2666-3791,2666-3791,CELL BIOLOGY,15797.0,14.0,Q1,2.33,99.73,SCIE
Science Advances,SCI ADV,10/135,12/140,,2375-2548,MULTIDISCIPLINARY SCIENCES,226461.0,13.9,Q1,2.79,99.91,SCIE
Annual Review of Neuroscience,ANNU REV NEUROSCI,5/320,10/330,0147-006X,1545-4126,NEUROSCIENCES,14783.0,13.8,Q1,1.81,100.0,SCIE
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,31/319,17/328,0098-2997,1872-9452,BIOCHEMISTRY & MOLECULAR BIOLOGY,10413.0,13.8,Q1,1.24,42.07,SCIE
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,1/37,1/39,2473-2397,2168-6831,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,6635.0,13.7,Q1,3.11,4.9,SCIE
Plant Communications,PLANT COMMUN,25/319,18/328,2590-3462,2590-3462,BIOCHEMISTRY & MOLECULAR BIOLOGY,7450.0,13.7,Q1,2.38,100.0,SCIE
BIOMATERIALS,BIOMATERIALS,9/126,8/130,0142-9612,1878-5905,"ENGINEERING, BIOMEDICAL",110718.0,13.6,Q1,2.34,16.0,SCIE
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,21/319,19/328,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY,36020.0,13.6,Q1,2.23,49.69,SCIE
PLANT CELL,PLANT CELL,20/319,20/328,1040-4651,1532-298X,BIOCHEMISTRY & MOLECULAR BIOLOGY,68439.0,13.5,Q1,2.4,38.35,SCIE
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,18/202,13/210,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3750.0,13.4,Q1,4.41,100.0,SCIE
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,39/319,21/328,1359-6101,1879-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY,9350.0,13.4,Q1,1.02,28.42,SCIE
Med,MED-CAMBRIDGE,9/187,14/191,2666-6359,2666-6340,"MEDICINE, RESEARCH & EXPERIMENTAL",3592.0,13.3,Q1,2.72,36.65,ESCI
Meta-Radiology,META-RADIOLOGY,12/202,14/210,,2950-1628,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",696.0,13.3,Q1,2.32,100.0,ESCI
NEURO-ONCOLOGY,NEURO-ONCOLOGY,4/285,4/296,1522-8517,1523-5866,CLINICAL NEUROLOGY,27081.0,13.1,Q1,2.79,39.62,SCIE
Molecular Biomedicine,MOL BIOMED,40/319,22/328,,2662-8651,BIOCHEMISTRY & MOLECULAR BIOLOGY,2618.0,13.0,Q1,1.23,100.0,ESCI
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ISPRS J PHOTOGRAMM,3/37,2/39,0924-2716,1872-8235,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,37899.0,12.9,Q1,2.52,28.96,SCIE
Annual Review of Biophysics,ANNU REV BIOPHYS,2/79,1/81,1936-122X,1936-1238,BIOPHYSICS,4597.0,12.9,Q1,2.3,100.0,SCIE
Research,RESEARCH-CHINA,17/135,13/140,2096-5168,2639-5274,MULTIDISCIPLINARY SCIENCES,12839.0,12.9,Q1,2.01,100.0,SCIE
Alzheimers & Dementia,ALZHEIMERS DEMENT,7/285,5/296,1552-5260,1552-5279,CLINICAL NEUROLOGY,47030.0,12.8,Q1,3.27,90.78,SCIE
EClinicalMedicine,ECLINICALMEDICINE,15/315,10/336,,2589-5370,"MEDICINE, GENERAL & INTERNAL",28691.0,12.8,Q1,3.07,99.82,SCIE
PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,8/175,7/180,1467-7644,1467-7652,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,25693.0,12.8,Q1,2.29,100.0,SCIE
Smart Medicine,SMART MED,13/126,9/130,2751-1871,2751-1871,"ENGINEERING, BIOMEDICAL",1239.0,12.8,Q1,1.25,100.0,ESCI
JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,11/229,10/237,1936-8798,1876-7605,CARDIAC & CARDIOVASCULAR SYSTEMS,20352.0,12.7,Q1,2.82,25.3,SCIE
BRAIN,BRAIN,5/285,6/296,0006-8950,1460-2156,CLINICAL NEUROLOGY,68603.0,12.6,Q1,3.29,55.34,SCIE
Nature Cardiovascular Research,NAT CARDIOVASC RES,7/229,11/237,,2731-0590,CARDIAC & CARDIOVASCULAR SYSTEMS,3499.0,12.6,Q1,2.88,44.87,ESCI
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,13/229,12/237,0008-6363,1755-3245,CARDIAC & CARDIOVASCULAR SYSTEMS,31432.0,12.5,Q1,2.76,47.05,SCIE
JAMA Health Forum,JAMA-HEALTH FORUM,1/180,3/194,2689-0186,2689-0186,HEALTH CARE SCIENCES & SERVICES,5374.0,12.5,Q1,2.71,100.0,SCIE
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,30/319,23/328,1672-9072,1744-7909,BIOCHEMISTRY & MOLECULAR BIOLOGY,17256.0,12.5,Q1,2.1,28.74,SCIE
Journal of Translational Internal Medicine,J TRANSL INTERN MED,41/315,11/336,2450-131X,2224-4018,"MEDICINE, GENERAL & INTERNAL",2111.0,12.5,Q1,1.93,93.98,SCIE
NATURAL PRODUCT REPORTS,NAT PROD REP,32/319,23/328,0265-0568,1460-4752,BIOCHEMISTRY & MOLECULAR BIOLOGY,14406.0,12.5,Q1,1.39,41.71,SCIE
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,13/203,26/207,1081-0706,1530-8995,CELL BIOLOGY,10152.0,12.5,Q1,1.32,100.0,SCIE
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,7/126,10/130,0278-0062,1558-254X,"ENGINEERING, BIOMEDICAL",43138.0,12.4,Q1,2.4,10.4,SCIE
Cancer Biology & Medicine,CANCER BIOL MED,30/187,16/191,2095-3941,2095-3941,"MEDICINE, RESEARCH & EXPERIMENTAL",4958.0,12.4,Q1,1.26,100.0,SCIE
