clinical_anchor,feature,network_a,network_b,healthy_spearman_r,healthy_spearman_p,healthy_n,nonhealthy_spearman_r,nonhealthy_spearman_p,nonhealthy_n,group_fc_interaction_beta,group_fc_interaction_p,group_fc_interaction_n,nonhealthy_mechanism_direction,healthy_control_direction,nonhealthy_spearman_fdr_q,healthy_spearman_fdr_q,group_fc_interaction_fdr_q
BDI,salience_FC,salience,salience,0.22857073750448387,0.34659194762364975,19,0.3268213834591164,0.008940119351881383,63,-4.694235399171314,0.26907583096403687,82,nonhealthy_greater,nonhealthy_greater,0.12035549372712417,0.8664798690591244,0.8626083719732612
BDI,frontoparietal_FC,frontoparietal,frontoparietal,0.6420298049014834,0.0030399095021050268,19,0.2579407199538964,0.041248623989217734,63,-1.1961992409119213,0.7859320722423047,82,nonhealthy_greater,nonhealthy_greater,0.1856188079514798,0.1367959275947262,0.8626083719732612
sleepiness,thalamus_DMN_FC,thalamus,DMN,-0.3561508191942212,0.1344934712961796,19,-0.4035464307545421,0.00103960906398934,63,2.506260908306693,0.4191389534679355,82,nonhealthy_lower,nonhealthy_lower,0.04609672111335124,0.7565257760410103,0.8626083719732612
sleepiness,thalamus_salience_FC,thalamus,salience,0.14696856589533686,0.5482362664836131,19,-0.09919684570732144,0.43922979798545636,63,2.0903323819120487,0.5039518098219138,82,nonhealthy_lower,nonhealthy_greater,0.6624313693892063,0.9627934378593256,0.8626083719732612
sleepiness,thalamus_frontoparietal_FC,thalamus,frontoparietal,-0.1803295287059348,0.46005018350759586,19,-0.2209799761186135,0.08178214894513117,63,1.623486992309523,0.5932485552922799,82,nonhealthy_lower,nonhealthy_lower,0.3066830585442419,0.9382728032188546,0.8626083719732612
sleepiness,DMN_salience_FC,DMN,salience,0.25967452133654606,0.28299965218506595,19,-0.06532944542703323,0.6109648325587889,63,3.562058789289617,0.32464794066623137,82,nonhealthy_lower,nonhealthy_greater,0.7821223192131601,0.8354820709742682,0.8626083719732612
sleepiness,DMN_frontoparietal_FC,DMN,frontoparietal,0.07213181148237392,0.7691765794224512,19,-0.17828492249822175,0.16211785960977823,63,0.6748306899240606,0.8673415529146945,82,nonhealthy_lower,nonhealthy_greater,0.4443394583258746,0.9627934378593256,0.9076830204921221
sleepiness,salience_frontoparietal_FC,salience,frontoparietal,0.2362316826047746,0.3302159601681587,19,-0.07475843755052256,0.5603577787677443,63,2.2789946781551573,0.5051206833764925,82,nonhealthy_lower,nonhealthy_greater,0.7641242437741967,0.8664798690591244,0.8626083719732612
sleepiness,DMN_FC,DMN,DMN,0.3922167249354081,0.09673423084475126,19,-0.028816154499847497,0.8226113920187567,63,0.1994912899403354,0.947998763623638,82,nonhealthy_lower,nonhealthy_greater,0.8813693485915249,0.621862912573401,0.9580769435771733
sleepiness,salience_FC,salience,salience,0.2524613401883087,0.29706029190196204,19,-0.09727256160048688,0.448201165924658,63,1.0472475057031845,0.703454714716569,82,nonhealthy_lower,nonhealthy_greater,0.6624313693892063,0.8354820709742682,0.8626083719732612
sleepiness,frontoparietal_FC,frontoparietal,frontoparietal,0.4318892212507138,0.06481579421608075,19,0.00033674971869604756,0.9979100691315119,63,0.509394023027614,0.8566154914575183,82,nonhealthy_greater,nonhealthy_greater,0.9979100691315119,0.5552903324492073,0.9076830204921221
