subject_id,subject,fmri_qc_signal_GS_pre_mean,fmri_qc_signal_GS_post_mean,fmri_qc_signal_GS_mean_delta,fmri_qc_signal_GS_pre_sigma,fmri_qc_signal_GS_post_sigma,fmri_qc_signal_GS_sigma_delta,fmri_qc_signal_GS_sigma_reduction_percent,fmri_qc_signal_GS_pre_max,fmri_qc_signal_GS_post_max,fmri_qc_signal_CSF_pre_mean,fmri_qc_signal_CSF_post_mean,fmri_qc_signal_CSF_mean_delta,fmri_qc_signal_CSF_pre_sigma,fmri_qc_signal_CSF_post_sigma,fmri_qc_signal_CSF_sigma_delta,fmri_qc_signal_CSF_sigma_reduction_percent,fmri_qc_signal_CSF_pre_max,fmri_qc_signal_CSF_post_max,fmri_qc_signal_WM_pre_mean,fmri_qc_signal_WM_post_mean,fmri_qc_signal_WM_mean_delta,fmri_qc_signal_WM_pre_sigma,fmri_qc_signal_WM_post_sigma,fmri_qc_signal_WM_sigma_delta,fmri_qc_signal_WM_sigma_reduction_percent,fmri_qc_signal_WM_pre_max,fmri_qc_signal_WM_post_max,fmri_qc_signal_DVARS_pre_mean,fmri_qc_signal_DVARS_post_mean,fmri_qc_signal_DVARS_mean_delta,fmri_qc_signal_DVARS_pre_sigma,fmri_qc_signal_DVARS_post_sigma,fmri_qc_signal_DVARS_sigma_delta,fmri_qc_signal_DVARS_sigma_reduction_percent,fmri_qc_signal_DVARS_pre_max,fmri_qc_signal_DVARS_post_max,fmri_qc_signal_FD_pre_mean,fmri_qc_signal_FD_post_mean,fmri_qc_signal_FD_mean_delta,fmri_qc_signal_FD_pre_sigma,fmri_qc_signal_FD_post_sigma,fmri_qc_signal_FD_sigma_delta,fmri_qc_signal_FD_sigma_reduction_percent,fmri_qc_signal_FD_pre_max,fmri_qc_signal_FD_post_max,fmri_mean_FD,fmri_max_FD,fmri_mean_DVARS,fmri_qc_signal_post_DVARS_mean,fmri_qc_signal_post_GS_mean,fmri_percent_high_motion,fmri_post_DVARS_std,fmri_timefreq_TR,fmri_timefreq_sampling_rate_hz,fmri_timefreq_ALFF_0.01_0.08,fmri_timefreq_fALFF_0.01_0.08_over_0.01_0.25,fmri_global_signal_psd_power_mean,fmri_global_signal_psd_power_max,fmri_thalamus_roi_voxels,fmri_DMN_roi_voxels,fmri_salience_roi_voxels,fmri_frontoparietal_roi_voxels,fmri_thalamus_DMN_FC,fmri_thalamus_salience_FC,fmri_thalamus_frontoparietal_FC,fmri_DMN_salience_FC,fmri_DMN_frontoparietal_FC,fmri_salience_frontoparietal_FC,fmri_DMN_FC,fmri_salience_FC,fmri_frontoparietal_FC
sub-ISM045,sub-ISM045,96.10371017456055,96.10453414916992,0.000823974609375,1.0268076658248901,0.12990907952189445,-0.8968985863029957,87.39000965789647,99.2812614440918,96.57944869995117,235.04817962646484,235.0481719970703,-7.62939453125e-06,2.8416906595230103,0.6422811150550842,-2.199409544467926,77.34744377079721,245.7266616821289,237.60812377929688,227.89466094970703,227.8946762084961,1.52587890625e-05,1.7146353721618652,0.1449787393212318,-1.5696566328406334,91.53613994882404,233.75687408447266,228.39408874511722,4.370250463485718,3.168109178543091,-1.202141284942627,1.971152901649475,1.0799598097801208,-0.8911930918693542,41.722968841470085,20.904640197753906,16.828280925750732,0.2171157449483871,0.2171157449483871,0.0,0.21842405945062632,0.21842405945062632,0.0,0.0,2.7940701246261597,2.7940701246261597,0.2171157449483871,2.7940701246261597,3.168109178543091,3.168109178543091,96.10453414916992,0.054166666666666655,1.0804100429121983,2.0,0.5,0.06763740414067304,0.7754659376492063,0.1023716114356738,1.8792465329170227,1200.0,1200.0,1200.0,1200.0,0.2519943895158809,0.2763822774838516,0.1251467369725045,0.3863565706032811,0.4560002603837965,0.28300046034977205,0.8095434010028839,0.9358560740947723,0.8170523941516876
sub-ISMHC009,sub-ISMHC009,87.7901382446289,87.79004669189453,-9.1552734375e-05,0.34432779749234516,0.0709542371332645,-0.27337356035908056,77.61981038719789,88.75262451171875,88.1429443359375,197.9502410888672,197.9502410888672,0.0,1.1622449954350789,0.18142640590667725,-0.9808185895284017,81.54381069297797,202.38895670572913,199.24042256673178,210.37725830078125,210.37723795572916,-2.0345052083333332e-05,0.504660576581955,0.07130297770102813,-0.4333575988809268,85.61886073194319,211.53996785481772,210.6259765625,4.037574529647827,2.8453710873921714,-1.192203442255656,1.1490819851557414,0.6690491040547689,-0.4800328811009725,43.38205121473547,13.227594057718912,6.136852900187175,0.11930813888708743,0.11930813888708743,0.0,0.09707979237039877,0.09707979237039877,0.0,0.0,1.3642926414807637,1.3642926414807637,0.11930813888708743,1.3642926414807637,2.8453710873921714,2.8453710873921714,87.79004669189453,0.008055555555555533,0.6701287436132572,2.0,0.5,0.036671925421317836,0.6437203984255772,0.07779030402039794,0.8617112814823044,,,,,,,,,,,,,
sub-ISMHC020,sub-ISMHC020,86.73678588867188,86.73677062988281,-1.52587890625e-05,1.202301263809204,0.1322286874055862,-1.070072576403618,89.00203373431953,91.77493286132812,87.14448547363281,179.564453125,179.56446838378906,1.52587890625e-05,3.051603317260742,0.7100967168807983,-2.341506600379944,76.73037275637078,194.05029296875,181.80377197265625,220.3417205810547,220.3417510986328,3.0517578125e-05,1.939020276069641,0.1406141370534896,-1.7984061390161514,92.7481863501442,227.97091674804688,220.85235595703125,4.675891876220703,3.834139823913574,-0.8417520523071289,2.1313841342926025,1.055392861366272,-1.0759912729263306,50.48321677985314,32.90016174316406,13.008824348449709,0.2899353504180908,0.2899353504180908,0.0,0.4672702848911285,0.4672702848911285,0.0,0.0,10.316085815429688,10.316085815429688,0.2899353504180908,10.316085815429688,3.834139823913574,3.834139823913574,86.73677062988281,0.1066666666666666,1.0558329650299534,2.0,0.5,0.0578592019983182,0.7141779716747074,0.090892885038232,1.1493735313415527,,,,,,,,,,,,,
sub-ISMHC030,sub-ISMHC030,114.21307373046876,114.21304321289062,-3.0517578125e-05,0.643746018409729,0.2144887000322342,-0.4292573183774948,66.6811609084443,116.28881072998048,115.49758911132812,240.17803955078125,240.17807006835932,3.0517578125e-05,2.2114710807800293,0.4830853939056396,-1.7283856868743896,78.15547315521549,247.5000457763672,242.89015197753903,298.7337646484375,298.7337646484375,0.0,0.9247106909751892,0.1587730795145034,-0.7659376114606857,82.82997254556848,301.768310546875,299.2210388183594,4.3176984786987305,3.474944591522217,-0.8427538871765137,1.1557389497756958,0.6833288073539734,-0.4724101424217224,40.875159785296425,19.46086502075196,7.898986339569092,0.1530373692512512,0.1530373692512512,0.0,0.0882062911987304,0.0882062911987304,0.0,0.0,1.1084836721420288,1.1084836721420288,0.1530373692512512,1.1084836721420288,3.474944591522217,3.474944591522217,114.21304321289062,0.0108333333333333,0.6836137086573321,2.0,0.5,0.0657966670730561,0.7182533251323844,0.1399324966464624,8.38302993774414,,,,,,,,,,,,,
sub-YZ001,sub-YZ001,95.8676528930664,95.8676414489746,-1.1444091796875e-05,0.8471253514289856,0.15504795312881464,-0.6920773983001709,81.19481370758577,98.84231185913086,96.4543228149414,212.3906707763672,212.39066314697266,-7.62939453125e-06,2.7294386625289917,0.5320801436901093,-2.1973585188388824,79.65866947319654,222.69165039062506,214.93187713623047,255.2712173461914,255.27124023437497,2.288818359375e-05,1.3319528698921204,0.19039555639028544,-1.1415573135018349,85.71830121877596,259.99815368652344,255.97776794433588,4.839080810546875,4.067974805831909,-0.7711060047149658,2.2085601687431335,1.2072422802448273,-1.0013178884983063,42.57832881413568,26.803495407104492,13.091532707214355,0.27671580016613007,0.27671580016613007,0.0,0.33836036920547485,0.33836036920547485,0.0,0.0,4.585179507732391,4.585179507732391,0.27671580016613007,4.585179507732391,4.067974805831909,4.067974805831909,95.8676414489746,0.08124999999999995,1.2077456208017774,2.0,0.5,0.0713895621381696,0.7343817744607772,0.1086028681512084,2.6103457212448125,1200.0,1200.0,1200.0,1200.0,0.16274452012980306,0.20041221055932884,-0.1240818013861816,0.1509626717971948,0.39295234388910283,0.20778594588267846,0.9139315485954285,1.0502495765686035,0.8488338887691498
sub-YZ002,sub-YZ002,151.51974487304688,151.51968383789062,-6.103515625e-05,0.9559884667396544,0.1449241191148758,-0.8110643476247787,84.84039042760301,156.26278686523438,152.21812438964844,371.7503662109375,371.7503662109375,0.0,2.46709418296814,0.5525954365730286,-1.914498746395111,77.60136437482068,387.8767700195313,375.3397521972656,397.47064208984375,397.4706115722656,-3.0517578125e-05,2.0556423664093018,0.2177132219076156,-1.837929144501686,89.4089932439023,406.0790100097656,398.3148498535156,6.500547885894775,4.113457202911377,-2.3870906829833984,2.084704875946045,0.7670010924339294,-1.3177037835121157,63.20816911382422,30.783578872680664,10.093179702758787,0.1742120087146759,0.1742120087146759,0.0,0.1650882214307785,0.1650882214307785,0.0,0.0,3.6302647590637207,3.6302647590637207,0.1742120087146759,3.6302647590637207,4.113457202911377,4.113457202911377,151.51968383789062,0.0241666666666666,0.7673208710778775,2.0,0.5,0.081645229007261,0.7424231764889396,0.1062473802856176,1.4361493587493896,,,,,,,,,,,,,
sub-YZ003,sub-YZ003,146.64800262451172,146.64795684814453,-4.57763671875e-05,1.785075843334198,0.25438594073057175,-1.5306899026036263,85.75423382306637,152.0902862548828,147.43622589111328,327.7500305175781,327.7500762939453,4.57763671875e-05,4.4757490158081055,1.1494892239570618,-3.3262597918510437,74.27086083772542,340.82933044433594,331.66844177246094,350.6022186279297,350.6022491455078,3.0517578125e-05,2.4109890460968018,0.2862583249807358,-2.124730721116066,88.11040453170868,359.9171447753906,351.49530029296875,13.829062461853027,6.023571014404297,-7.80549144744873,3.4722185134887695,1.7360991835594177,-1.7361193299293518,49.78137837625659,35.37605094909668,17.57467269897461,0.6277637779712677,0.6277637779712677,0.0,0.32670487463474274,0.32670487463474274,0.0,0.0,2.7116525769233704,2.7116525769233704,0.6277637779712677,2.7116525769233704,6.023571014404297,6.023571014404297,146.64795684814453,0.6108333333333333,1.7368230543139815,2.0,0.5,0.13909544153817516,0.7145124101488953,0.20657706482682453,5.277092218399048,1200.0,1200.0,1200.0,1200.0,0.16953061977116018,0.14075361922070145,0.11633550596429411,0.43692234671368074,0.6451466005094946,0.4687310885275457,1.3054484128952026,1.43800550699234,1.5338206887245178
sub-YZ004,sub-YZ004,129.31925582885742,129.31927108764648,1.52587890625e-05,3.001386344432831,0.20755396783351895,-2.793832376599312,91.91560918423426,135.7247085571289,130.0109748840332,267.19637298583984,267.19637298583984,0.0,8.702199459075928,1.0052111446857452,-7.6969883143901825,88.00917909390681,285.7201843261719,270.3752899169922,344.1642150878906,344.1641845703125,-3.0517578125e-05,8.361474990844727,0.2750920206308365,-8.08638297021389,96.02214446019985,360.74766540527344,345.01524353027344,6.164984464645386,4.54042387008667,-1.6245605945587158,2.965018391609192,1.4344783425331116,-1.5305400490760803,51.82245690353089,31.348532676696777,16.660908699035645,0.28704142570495605,0.28704142570495605,0.0,0.2526159435510635,0.2526159435510635,0.0,0.0,4.062159419059753,4.062159419059753,0.28704142570495605,4.062159419059753,4.54042387008667,4.54042387008667,129.31927108764648,0.08791666666666664,1.4350763945762903,2.0,0.5,0.09995090864780914,0.7449037213140229,0.15927411631190092,5.086958169937134,1200.0,1200.0,1200.0,1200.0,0.1478350748194415,0.16696778168293455,0.00788570422084825,0.45369466633138855,0.48529961373445535,0.5184122335439949,1.1717828512191772,1.1506825685501099,1.3803215622901917
sub-YZ005,sub-YZ005,148.05341084798178,148.05345662434897,4.57763671875e-05,0.9964435895284017,0.18426304062207532,-0.8121805489063263,82.1546232202114,150.80201212565103,148.60815938313803,358.2707824707031,358.27081298828125,3.0517578125e-05,3.398162047068278,0.8612803518772125,-2.5368816951910653,75.41930811981511,370.2638244628906,361.00157674153644,378.1269226074219,378.12693277994794,1.0172526041666666e-05,1.9571021993954976,0.25108386327823,-1.7060183361172676,86.87172447910137,383.5405782063802,378.95245361328125,9.771397749582926,4.717961470286052,-5.053436279296875,3.3149423599243164,1.05523947874705,-2.2597028811772666,70.03604524734865,23.271409034729004,12.264734109242758,0.38510111967722577,0.38510111967722577,0.0,0.25333190957705176,0.25333190957705176,0.0,0.0,2.0735605359077454,2.0735605359077454,0.38510111967722577,2.0735605359077454,4.717961470286052,4.717961470286052,148.05345662434897,0.2503039832285115,1.0560252895099087,2.0,0.5,0.11271931475397017,0.6835609237907421,0.15382062863413762,2.6309213783256165,853.0,853.0,853.0,853.0,0.08938143662414733,0.08585081888863523,-0.11663936085625433,0.3250268618876762,0.29261479088731207,0.281876271954105,1.0699432690938313,1.24171448747317,1.7668573657671611
sub-YZ006,sub-YZ006,79.6006088256836,79.60053253173828,-7.62939453125e-05,0.6138567328453064,0.125052660703659,-0.4888040721416473,79.6283637512578,82.28959655761719,80.02932739257812,179.001220703125,179.00123596191406,1.52587890625e-05,1.6762744188308716,0.5821170210838318,-1.0941573977470398,65.27316681896076,188.3402404785156,181.17630004882807,220.81304931640625,220.81304931640625,0.0,1.4640038013458252,0.1811072379350662,-1.282896563410759,87.62931914735614,224.7913055419922,221.3352813720703,4.759428024291992,2.4942641258239746,-2.2651638984680176,1.287469506263733,0.5650766491889954,-0.7223928570747375,56.10951199699781,16.119733810424805,7.984654426574707,0.4309980869293213,0.4309980869293213,0.0,0.2485705912113189,0.2485705912113189,0.0,0.0,3.062169313430786,3.062169313430786,0.4309980869293213,3.062169313430786,2.4942641258239746,2.4942641258239746,79.60053253173828,0.3375,0.5653122487267134,2.0,0.5,0.0550744961326394,0.7312147325335974,0.0969159436690108,1.8814904689788816,,,,,,,,,,,,,
